[1.395s][info][gc,task      ] GC(6) Using 4 workers of 4 for evacuation
[1.405s][info][gc,phases    ] GC(6)   Pre Evacuate Collection Set: 0.0ms
[1.405s][info][gc,phases    ] GC(6)   Evacuate Collection Set: 9.6ms
[1.405s][info][gc,phases    ] GC(6)   Post Evacuate Collection Set: 0.2ms
[1.405s][info][gc,phases    ] GC(6)   Other: 1.0ms
[1.405s][info][gc,heap      ] GC(6) Eden regions: 18->0(17)
[1.405s][info][gc,heap      ] GC(6) Survivor regions: 2->3(3)
[1.405s][info][gc,heap      ] GC(6) Old regions: 2->3
[1.405s][info][gc,heap      ] GC(6) Humongous regions: 0->0
[1.405s][info][gc,metaspace ] GC(6) Metaspace: 4949K->4949K(1056768K)
[1.406s][info][gc           ] GC(6) Pause Young (G1 Evacuation Pause) 20M->5M(40M) 10.915ms
[1.406s][info][gc,cpu       ] GC(6) User=0.06s Sys=0.00s Real=0.01s
[1.524s][info][gc,start     ] GC(7) Pause Young (G1 Evacuation Pause)
[1.524s][info][gc,task      ] GC(7) Using 4 workers of 4 for evacuation
[1.535s][info][gc,phases    ] GC(7)   Pre Evacuate Collection Set: 0.0ms
[1.535s][info][gc,phases    ] GC(7)   Evacuate Collection Set: 9.8ms
[1.535s][info][gc,phases    ] GC(7)   Post Evacuate Collection Set: 0.2ms
[1.535s][info][gc,phases    ] GC(7)   Other: 1.2ms
[1.535s][info][gc,heap      ] GC(7) Eden regions: 17->0(17)
[1.535s][info][gc,heap      ] GC(7) Survivor regions: 3->3(3)
[1.535s][info][gc,heap      ] GC(7) Old regions: 3->7
[1.535s][info][gc,heap      ] GC(7) Humongous regions: 0->0
[1.535s][info][gc,metaspace ] GC(7) Metaspace: 4967K->4967K(1056768K)
[1.535s][info][gc           ] GC(7) Pause Young (G1 Evacuation Pause) 22M->9M(40M) 11.352ms
[1.536s][info][gc,cpu       ] GC(7) User=0.00s Sys=0.00s Real=0.01s
[1.619s][info][gc,start     ] GC(8) Pause Young (G1 Evacuation Pause)
[1.619s][info][gc,task      ] GC(8) Using 4 workers of 4 for evacuation
[1.640s][info][gc,phases    ] GC(8)   Pre Evacuate Collection Set: 0.0ms
[1.640s][info][gc,phases    ] GC(8)   Evacuate Collection Set: 19.9ms
[1.641s][info][gc,phases    ] GC(8)   Post Evacuate Collection Set: 0.2ms
[1.641s][info][gc,phases    ] GC(8)   Other: 1.2ms
[1.641s][info][gc,heap      ] GC(8) Eden regions: 17->0(17)
[1.641s][info][gc,heap      ] GC(8) Survivor regions: 3->3(3)
[1.641s][info][gc,heap      ] GC(8) Old regions: 7->10
[1.641s][info][gc,heap      ] GC(8) Humongous regions: 0->0
[1.641s][info][gc,metaspace ] GC(8) Metaspace: 4982K->4982K(1056768K)
[1.641s][info][gc           ] GC(8) Pause Young (G1 Evacuation Pause) 26M->12M(40M) 21.440ms
[1.641s][info][gc,cpu       ] GC(8) User=0.05s Sys=0.00s Real=0.02s
[1.691s][info][gc,start     ] GC(9) Pause Young (G1 Evacuation Pause)
[1.691s][info][gc,task      ] GC(9) Using 4 workers of 4 for evacuation
[1.700s][info][gc,phases    ] GC(9)   Pre Evacuate Collection Set: 0.0ms
[1.700s][info][gc,phases    ] GC(9)   Evacuate Collection Set: 7.2ms
[1.700s][info][gc,phases    ] GC(9)   Post Evacuate Collection Set: 0.2ms
[1.700s][info][gc,phases    ] GC(9)   Other: 1.0ms
[1.700s][info][gc,heap      ] GC(9) Eden regions: 17->0(18)
[1.700s][info][gc,heap      ] GC(9) Survivor regions: 3->2(3)
[1.700s][info][gc,heap      ] GC(9) Old regions: 10->13
[1.700s][info][gc,heap      ] GC(9) Humongous regions: 0->0
[1.700s][info][gc,metaspace ] GC(9) Metaspace: 4985K->4985K(1056768K)
[1.700s][info][gc           ] GC(9) Pause Young (G1 Evacuation Pause) 29M->13M(40M) 8.701ms
[1.700s][info][gc,cpu       ] GC(9) User=0.06s Sys=0.00s Real=0.01s
[2.180s][info][gc,start     ] GC(10) Pause Young (G1 Evacuation Pause)
[2.180s][info][gc,task      ] GC(10) Using 4 workers of 4 for evacuation
[2.185s][info][gc,phases    ] GC(10)   Pre Evacuate Collection Set: 0.0ms
[2.185s][info][gc,phases    ] GC(10)   Evacuate Collection Set: 4.6ms
[2.185s][info][gc,phases    ] GC(10)   Post Evacuate Collection Set: 0.2ms
[2.186s][info][gc,phases    ] GC(10)   Other: 1.1ms
[2.186s][info][gc,heap      ] GC(10) Eden regions: 18->0(18)
[2.186s][info][gc,heap      ] GC(10) Survivor regions: 2->2(3)
[2.186s][info][gc,heap      ] GC(10) Old regions: 13->13
[2.186s][info][gc,heap      ] GC(10) Humongous regions: 0->0
[2.186s][info][gc,metaspace ] GC(10) Metaspace: 5032K->5032K(1056768K)
[2.186s][info][gc           ] GC(10) Pause Young (G1 Evacuation Pause) 31M->14M(40M) 6.008ms
[2.186s][info][gc,cpu       ] GC(10) User=0.00s Sys=0.00s Real=0.01s
[2.463s][info][gc,start     ] GC(11) Pause Young (G1 Evacuation Pause)
[2.463s][info][gc,task      ] GC(11) Using 4 workers of 4 for evacuation
[2.467s][info][gc,phases    ] GC(11)   Pre Evacuate Collection Set: 0.0ms
[2.467s][info][gc,phases    ] GC(11)   Evacuate Collection Set: 3.7ms
[2.467s][info][gc,phases    ] GC(11)   Post Evacuate Collection Set: 0.2ms
[2.467s][info][gc,phases    ] GC(11)   Other: 0.4ms
[2.467s][info][gc,heap      ] GC(11) Eden regions: 18->0(19)
[2.467s][info][gc,heap      ] GC(11) Survivor regions: 2->1(3)
[2.467s][info][gc,heap      ] GC(11) Old regions: 13->14
[2.467s][info][gc,heap      ] GC(11) Humongous regions: 0->0
[2.467s][info][gc,metaspace ] GC(11) Metaspace: 5032K->5032K(1056768K)
[2.467s][info][gc           ] GC(11) Pause Young (G1 Evacuation Pause) 32M->14M(40M) 4.569ms
[2.467s][info][gc,cpu       ] GC(11) User=0.00s Sys=0.00s Real=0.01s
[3.446s][info][gc,start     ] GC(12) Pause Young (G1 Evacuation Pause)
[3.446s][info][gc,task      ] GC(12) Using 4 workers of 4 for evacuation
[3.449s][info][gc,phases    ] GC(12)   Pre Evacuate Collection Set: 0.0ms
[3.449s][info][gc,phases    ] GC(12)   Evacuate Collection Set: 2.5ms
[3.449s][info][gc,phases    ] GC(12)   Post Evacuate Collection Set: 0.2ms
[3.449s][info][gc,phases    ] GC(12)   Other: 0.4ms
[3.449s][info][gc,heap      ] GC(12) Eden regions: 19->0(19)
[3.449s][info][gc,heap      ] GC(12) Survivor regions: 1->1(3)
[3.449s][info][gc,heap      ] GC(12) Old regions: 14->14
[3.449s][info][gc,heap      ] GC(12) Humongous regions: 0->0
[3.449s][info][gc,metaspace ] GC(12) Metaspace: 5032K->5032K(1056768K)
[3.449s][info][gc           ] GC(12) Pause Young (G1 Evacuation Pause) 33M->14M(40M) 3.409ms
[3.449s][info][gc,cpu       ] GC(12) User=0.00s Sys=0.00s Real=0.00s
[15.885s][info][gc,start     ] GC(13) Pause Young (G1 Evacuation Pause)
[15.885s][info][gc,task      ] GC(13) Using 4 workers of 4 for evacuation
[15.894s][info][gc,phases    ] GC(13)   Pre Evacuate Collection Set: 0.0ms
[15.894s][info][gc,phases    ] GC(13)   Evacuate Collection Set: 9.0ms
[15.895s][info][gc,phases    ] GC(13)   Post Evacuate Collection Set: 0.2ms
[15.895s][info][gc,phases    ] GC(13)   Other: 0.6ms
[15.895s][info][gc,heap      ] GC(13) Eden regions: 19->0(17)
[15.895s][info][gc,heap      ] GC(13) Survivor regions: 1->3(3)
[15.895s][info][gc,heap      ] GC(13) Old regions: 14->17
[15.895s][info][gc,heap      ] GC(13) Humongous regions: 0->0
[15.895s][info][gc,metaspace ] GC(13) Metaspace: 5033K->5033K(1056768K)
[15.895s][info][gc           ] GC(13) Pause Young (G1 Evacuation Pause) 33M->19M(40M) 10.198ms
[15.895s][info][gc,cpu       ] GC(13) User=0.03s Sys=0.00s Real=0.01s
[26.172s][info][gc,start     ] GC(14) Pause Young (G1 Evacuation Pause)
[26.172s][info][gc,task      ] GC(14) Using 4 workers of 4 for evacuation
[26.181s][info][gc           ] GC(14) To-space exhausted
[26.181s][info][gc,phases    ] GC(14)   Pre Evacuate Collection Set: 0.0ms
[26.181s][info][gc,phases    ] GC(14)   Evacuate Collection Set: 6.0ms
[26.181s][info][gc,phases    ] GC(14)   Post Evacuate Collection Set: 3.0ms
[26.181s][info][gc,phases    ] GC(14)   Other: 0.5ms
[26.181s][info][gc,heap      ] GC(14) Eden regions: 17->0(19)
[26.181s][info][gc,heap      ] GC(14) Survivor regions: 3->1(3)
[26.181s][info][gc,heap      ] GC(14) Old regions: 17->34
[26.181s][info][gc,heap      ] GC(14) Humongous regions: 0->0
[26.181s][info][gc,metaspace ] GC(14) Metaspace: 5033K->5033K(1056768K)
[26.181s][info][gc           ] GC(14) Pause Young (G1 Evacuation Pause) 36M->35M(40M) 9.844ms
[26.181s][info][gc,cpu       ] GC(14) User=0.00s Sys=0.00s Real=0.01s
[28.432s][info][gc,start     ] GC(15) Pause Initial Mark (G1 Evacuation Pause)
[28.432s][info][gc,task      ] GC(15) Using 4 workers of 4 for evacuation
[28.437s][info][gc           ] GC(15) To-space exhausted
[28.437s][info][gc,phases    ] GC(15)   Pre Evacuate Collection Set: 0.0ms
[28.437s][info][gc,phases    ] GC(15)   Evacuate Collection Set: 2.9ms
[28.437s][info][gc,phases    ] GC(15)   Post Evacuate Collection Set: 1.9ms
[28.437s][info][gc,phases    ] GC(15)   Other: 0.5ms
[28.437s][info][gc,heap      ] GC(15) Eden regions: 5->0(20)
[28.437s][info][gc,heap      ] GC(15) Survivor regions: 1->0(3)
[28.437s][info][gc,heap      ] GC(15) Old regions: 34->40
[28.437s][info][gc,heap      ] GC(15) Humongous regions: 0->0
[28.437s][info][gc,metaspace ] GC(15) Metaspace: 5033K->5033K(1056768K)
